      | ID         | Check_ID                 | Failure_Instances   | Devices_Failed | Devices_Passed  |
      | 1056       | CASA-ND-000550           | 1                   | 1              | 0               |
      | 1057       | CASA-ND-000570           | 1                   | 1              | 0               |
      | 1058       | CASA-FW-000050           | 1                   | 1              | 0               |
      | 1060       | CASA-VN-000020           | 1                   | 1              | 0               |
      | 1061       | CASA-ND-000100           | 0                   | 0              | 1               |
      | 1062       | CASA-ND-000110           | 0                   | 0              | 1               |
      | 1063       | CASA-ND-000120           | 0                   | 0              | 1               |
      | 1064       | CASA-ND-000210           | 0                   | 0              | 1               |
      | 1065       | CASA-ND-000240           | 0                   | 0              | 1               |
      | 1066       | CASA-ND-000260           | 0                   | 0              | 1               |
      | 1067       | CASA-ND-000280           | 0                   | 0              | 1               |
      | 1068       | CASA-ND-000290           | 0                   | 0              | 1               |
      | 1069       | CASA-ND-000300           | 0                   | 0              | 1               |
      | 1070       | CASA-ND-000320           | 0                   | 0              | 1               |
      | 1071       | CASA-ND-000910           | 0                   | 0              | 1               |
      | 1072       | CASA-ND-000580           | 1                   | 1              | 0               |
      | 1073       | CASA-ND-000490           | 1                   | 1              | 0               |
      | 1074       | CASA-ND-000430           | 6                   | 1              | 0               |
      | 1075       | CASA-ND-000920           | 0                   | 0              | 1               |
      | 1076       | CASA-ND-000930           | 0                   | 0              | 1               |
      | 1077       | CASA-ND-000940           | 1                   | 1              | 0               |
      | 1078       | CASA-ND-001230           | 0                   | 0              | 1               |
      | 1079       | CASA-ND-001220           | 0                   | 0              | 1               |
      | 1080       | CASA-ND-001210           | 0                   | 0              | 1               |
      | 1081       | CASA-ND-001200           | 0                   | 0              | 1               |
      | 1082       | CASA-ND-000970           | 1                   | 1              | 0               |
      | 1083       | CASA-ND-001180           | 0                   | 0              | 1               |
      | 1084       | CASA-FW-000150           | 0                   | 0              | 1               |
      | 1085       | CASA-FW-000020           | 0                   | 0              | 1               |
      | 1086       | CASA-FW-000090           | 1                   | 1              | 0               |
      | 1087       | CASA-FW-000210           | 1                   | 1              | 0               |
      | 1088       | CASA-FW-000270           | 0                   | 0              | 1               |
      | 1089       | CASA-FW-000300           | 1                   | 1              | 0               |
      | 1090       | CASA-ND-000450           | 0                   | 0              | 1               |
      | 1091       | CASA-ND-001250           | 0                   | 0              | 1               |
      | 1092       | CASA-ND-001240           | 0                   | 0              | 1               |
      | 1093       | CASA-FW-000100           | 1                   | 1              | 0               |
      | 1094       | CASA-FW-000130           | 6                   | 1              | 0               |
      | 1095       | CASA-FW-000200           | 0                   | 0              | 1               |
      | 1096       | CASA-FW-000220           | 1                   | 1              | 0               |
      | 1097       | CASA-ND-001260           | 0                   | 0              | 1               |
      | 1098       | CASA-ND-001410           | 0                   | 0              | 1               |
      | 1099       | CASA-VN-000390           | 1                   | 1              | 0               |
      | 1100       | CASA-VN-000610           | 1                   | 1              | 0               |
      | 1101       | CASA-ND-001050           | 5                   | 1              | 0               |
      | 1102       | CASA-ND-001310           | 1                   | 1              | 0               |
      | 1103       | CASA-ND-001070           | 5                   | 1              | 0               |
      | 1104       | CASA-ND-000160           | 1                   | 1              | 0               |
      | 1105       | CASA-ND-001350           | 1                   | 1              | 0               |
      | 1106       | CASA-VN-000080           | 1                   | 1              | 0               |
      | 1107       | CASA-VN-000010           | 1                   | 1              | 0               |
      | 1108       | CASA-ND-001080           | 1                   | 1              | 0               |
      | 1109       | CASA-VN-000190           | 6                   | 1              | 0               |
      | 1110       | CASA-VN-000090           | 0                   | 0              | 1               |
      | 1111       | CASA-VN-000130           | 0                   | 0              | 1               |
      | 1112       | CASA-VN-000170           | 0                   | 0              | 1               |
      | 1113       | CASA-VN-000200           | 2                   | 1              | 0               |
      | 1114       | CASA-VN-000210           | 1                   | 1              | 0               |
      | 1115       | CASA-VN-000400           | 6                   | 1              | 0               |
      | 1116       | CASA-VN-000520           | 1                   | 1              | 0               |
      | 1117       | CASA-VN-000550           | 1                   | 1              | 0               |
      | 1118       | CASA-VN-000630           | 6                   | 1              | 0               |
      | 1119       | CASA-ND-001140           | 5                   | 1              | 0               |
      | 1120       | CASA-VN-000460           | 8                   | 1              | 0               |
      | 1121       | CASA-VN-000230           | 1                   | 1              | 0               |
      | 1122       | CASA-VN-000310           | 1                   | 1              | 0               |
      | 1123       | CASA-VN-000440           | 6                   | 1              | 0               |
      | 1124       | CASA-VN-000350           | 5                   | 1              | 0               |
      | 1125       | CASA-VN-000510           | 1                   | 1              | 0               |
      | 1126       | CASA-VN-000560           | 1                   | 1              | 0               |
      | 1127       | CASA-VN-000640           | 0                   | 0              | 1               |
      | 1128       | CASA-VN-000660           | 6                   | 1              | 0               |
      | 1129       | CASA-ND-000470           | 2                   | 1              | 0               |
      | 1130       | CASA-VN-000240           | 2                   | 1              | 0               |
      | 1131       | CASA-VN-000730           | 2                   | 1              | 0               |
      | 1132       | CASA-VN-000450           | 6                   | 1              | 0               |
      | 1133       | CASA-VN-000360           | 0                   | 0              | 1               |
      | 1134       | CASA-VN-000720           | 1                   | 1              | 0               |
      | 1135       | CASA-ND-001150           | 2                   | 1              | 0               |
      | 1136       | CASA-VN-000530           | 1                   | 1              | 0               |
      | 1137       | CASA-VN-000500           | 1                   | 1              | 0               |
      | 1138       | CASA-VN-000650           | 5                   | 1              | 0               |
      | 1139       | CASA-VN-000410           | 6                   | 1              | 0               |
      | 1140       | CASA-FW-000040           | 14                  | 1              | 0               |
      | 1145       | CASA-ND-000090           | 0                   | 0              | 1               |
      | 1317       | CISC-RT-000780           | 3                   | 3              | 0               |
      | 1318       | CISC-RT-000780           | 3                   | 3              | 0               |
      | 1319       | CISC-RT-000780           | 3                   | 3              | 0               |
      | 1320       | CISC-RT-000780           | 3                   | 3              | 0               |
